ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
115177;GM0737;2013MM01;   31979;      27;      28;     111;     108;       3;     137;     128;       9;;     -27;   -0.08;     -27;   -0.08;   31952
115178;GM0737;2013MM02;   31952;      27;      36;     125;     120;       5;      89;      91;      -2;;      27;    0.08;       0;    0.00;   31979
115179;GM0737;2013MM03;   31979;      25;      38;      82;      78;       4;     101;      94;       7;;     -32;   -0.10;     -32;   -0.10;   31947
115180;GM0737;2013MM04;   31947;      18;      31;     133;     112;      21;     114;     104;      10;;       6;    0.02;     -26;   -0.08;   31953
115181;GM0737;2013MM05;   31953;      23;      29;     114;     108;       6;     100;      99;       1;;       8;    0.03;     -18;   -0.06;   31961
115182;GM0737;2013MM06;   31961;      19;      29;      89;      71;      18;      94;      88;       6;;     -15;   -0.05;     -33;   -0.10;   31946
115183;GM0737;2013MM07;   31946;      25;      25;     131;     105;      26;     110;      95;      15;;      21;    0.07;     -12;   -0.04;   31967
115184;GM0737;2013MM08;   31967;      21;      25;     123;     105;      18;     140;     134;       6;;     -21;   -0.07;     -33;   -0.10;   31946
115185;GM0737;2013MM09;   31946;      31;      24;     104;      94;      10;     135;     131;       4;;     -24;   -0.08;     -57;   -0.18;   31922
115186;GM0737;2013MM10;   31922;      25;      32;     104;      93;      11;     110;      94;      16;;     -13;   -0.04;     -70;   -0.22;   31909
115187;GM0737;2013MM11;   31909;      24;      17;     106;      97;       9;      93;      95;      -2;;      20;    0.06;     -50;   -0.16;   31929
115188;GM0737;2013MM12;   31929;      24;      19;     119;     104;      15;      88;      80;       8;       8;      44;    0.14;      -6;   -0.02;   31973
115189;GM0737;2013JJ00;   31979;     289;     333;    1341;    1195;     146;    1311;    1233;      78;       8;      -6;   -0.02;      -6;   -0.02;   31973
115190;GM0737;2014MM01;   31973;      15;      33;     132;     115;      17;      89;      82;       7;;      25;    0.08;      25;    0.08;   31998
115191;GM0737;2014MM02;   31998;      25;      21;     107;      97;      10;      95;      83;      12;;      16;    0.05;      41;    0.13;   32014
115192;GM0737;2014MM03;   32014;      27;      37;     103;      91;      12;     120;     111;       9;;     -27;   -0.08;      14;    0.04;   31987
115193;GM0737;2014MM04;   31987;      19;      24;      87;      86;       1;     124;     121;       3;;     -42;   -0.13;     -28;   -0.09;   31945
115194;GM0737;2014MM05;   31945;      32;      26;      97;      91;       6;      81;      80;       1;;      22;    0.07;      -6;   -0.02;   31967
115195;GM0737;2014MM06;   31967;      31;      19;      94;      88;       6;      98;      98;       0;;       8;    0.03;       2;    0.01;   31975
115196;GM0737;2014MM07;   31975;      30;      29;     175;     161;      14;     147;     137;      10;;      29;    0.09;      31;    0.10;   32004
115197;GM0737;2014MM08;   32004;      27;      33;     131;     113;      18;     140;     134;       6;;     -15;   -0.05;      16;    0.05;   31989
115198;GM0737;2014MM09;   31989;      15;      24;     133;     114;      19;     157;     146;      11;;     -33;   -0.10;     -17;   -0.05;   31956
115199;GM0737;2014MM10;   31956;      19;      24;     132;     130;       2;     144;     128;      16;;     -17;   -0.05;     -34;   -0.11;   31939
115200;GM0737;2014MM11;   31939;      26;      29;     124;     110;      14;     101;     100;       1;;      20;    0.06;     -14;   -0.04;   31959
115201;GM0737;2014MM12;   31959;      15;      35;     117;     108;       9;      99;      96;       3;       0;      -2;   -0.01;     -16;   -0.05;   31957
115202;GM0737;2014JJ00;   31973;     281;     334;    1432;    1304;     128;    1395;    1316;      79;       0;     -16;   -0.05;     -16;   -0.05;   31957
115203;GM0737;2015MM01;   31957;      22;      24;     102;      94;       8;     122;     116;       6;;     -22;   -0.07;     -22;   -0.07;   31935
115204;GM0737;2015MM02;   31935;      22;      31;     109;     105;       4;      94;      92;       2;;       6;    0.02;     -16;   -0.05;   31941
115205;GM0737;2015MM03;   31941;      22;      29;     135;     131;       4;     104;     100;       4;;      24;    0.08;       8;    0.03;   31965
115206;GM0737;2015MM04;   31965;      25;      36;     110;     104;       6;      98;      93;       5;;       1;    0.00;       9;    0.03;   31966
115207;GM0737;2015MM05;   31966;      24;      20;     105;      94;      11;      70;      68;       2;;      39;    0.12;      48;    0.15;   32005
115208;GM0737;2015MM06;   32005;      33;      25;     103;      93;      10;      94;      83;      11;;      17;    0.05;      65;    0.20;   32022
115209;GM0737;2015MM07;   32022;      26;      35;     103;      96;       7;     119;     111;       8;;     -25;   -0.08;      40;    0.13;   31997
115210;GM0737;2015MM08;   31997;      20;      24;     126;     122;       4;     151;     143;       8;;     -29;   -0.09;      11;    0.03;   31968
115211;GM0737;2015MM09;   31968;      24;      20;     139;     128;      11;     116;     106;      10;;      27;    0.08;      38;    0.12;   31995
115212;GM0737;2015MM10;   31995;      19;      26;     139;     130;       9;     135;     132;       3;;      -3;   -0.01;      35;    0.11;   31992
115213;GM0737;2015MM11;   31992;      26;      27;     106;     105;       1;      74;      72;       2;;      31;    0.10;      66;    0.21;   32023
115214;GM0737;2015MM12;   32023;      19;      26;     184;     164;      20;     123;     121;       2;       0;      54;    0.17;     120;    0.38;   32077
115215;GM0737;2015JJ00;   31957;     282;     323;    1461;    1366;      95;    1300;    1237;      63;       0;     120;    0.38;     120;    0.38;   32077
115216;GM0737;2016MM01;   32077;      21;      33;     111;     105;       6;     135;     128;       7;;     -36;   -0.11;     -36;   -0.11;   32041
115217;GM0737;2016MM02;   32041;      16;      29;      95;      92;       3;     114;     107;       7;;     -32;   -0.10;     -68;   -0.21;   32009
115218;GM0737;2016MM03;   32009;      22;      26;     109;      98;      11;     106;     107;      -1;;      -1;    0.00;     -69;   -0.22;   32008
115219;GM0737;2016MM04;   32008;      23;      28;      99;      95;       4;     116;     116;       0;;     -22;   -0.07;     -91;   -0.28;   31986
115220;GM0737;2016MM05;   31986;      19;      25;     112;     101;      11;     114;     110;       4;;      -8;   -0.03;     -99;   -0.31;   31978
115221;GM0737;2016MM06;   31978;      18;      25;     119;     111;       8;     123;     113;      10;;     -11;   -0.03;    -110;   -0.34;   31967
115222;GM0737;2016MM07;   31967;      26;      27;     145;     135;      10;     141;     123;      18;;       3;    0.01;    -107;   -0.33;   31970
115223;GM0737;2016MM08;   31970;      28;      24;     114;     103;      11;     156;     153;       3;;     -38;   -0.12;    -145;   -0.45;   31932
115224;GM0737;2016MM09;   31932;      20;      29;     135;     108;      27;     158;     158;       0;;     -32;   -0.10;    -177;   -0.55;   31900
115225;GM0737;2016MM10;   31900;      19;      24;     161;     151;      10;     115;     115;       0;;      41;    0.13;    -136;   -0.42;   31941
115226;GM0737;2016MM11;   31941;      24;      31;     113;     112;       1;     103;     103;       0;;       3;    0.01;    -133;   -0.41;   31944
115227;GM0737;2016MM12;   31944;      16;      22;     145;     135;      10;     122;     118;       4;       2;      19;    0.06;    -114;   -0.36;   31963
115228;GM0737;2016JJ00;   32077;     252;     323;    1458;    1346;     112;    1503;    1451;      52;       2;    -114;   -0.36;    -114;   -0.36;   31963
115229;GM0737;2017MM01;   31963;      19;      38;     133;     124;       9;     139;     128;      11;;     -25;   -0.08;     -25;   -0.08;   31938
